Series ID,Year,Period,Label,Value
CES0500000002,2019,M01,2019 Jan,34.5
CES0500000002,2019,M02,2019 Feb,34.4
CES0500000002,2019,M03,2019 Mar,34.5
CES0500000002,2019,M04,2019 Apr,34.4
CES0500000002,2019,M05,2019 May,34.4
CES0500000002,2019,M06,2019 Jun,34.4
CES0500000002,2019,M07,2019 Jul,34.3
CES0500000002,2019,M08,2019 Aug,34.4
CES0500000002,2019,M09,2019 Sep,34.4
CES0500000002,2019,M10,2019 Oct,34.4
CES0500000002,2019,M11,2019 Nov,34.3
CES0500000002,2019,M12,2019 Dec,34.3
CES0500000002,2020,M01,2020 Jan,34.3
CES0500000002,2020,M02,2020 Feb,34.4
CES0500000002,2020,M03,2020 Mar,34.1
CES0500000002,2020,M04,2020 Apr,34.2
CES0500000002,2020,M05,2020 May,34.7
CES0500000002,2020,M06,2020 Jun,34.6
CES0500000002,2020,M07,2020 Jul,34.6
CES0500000002,2020,M08,2020 Aug,34.7
CES0500000002,2020,M09,2020 Sep,34.8
CES0500000002,2020,M10,2020 Oct,34.8
CES0500000002,2020,M11,2020 Nov,34.8
CES0500000002,2020,M12,2020 Dec,34.7
